#edgeID	previous_nodeID	following_nodeID	species	/mss6/cherry/GNNASM/feature_extract/distance/cpp_edit/dnaShape/MGW	kmer	label
0	198	197	bonobo	0.00793447	0.984251	1
1	198	197	chimp	0.00935994	1.0	1
2	198	197	gibbon	0.0115559	0.984251	1
3	198	197	human	0.0101963	0.992157	1
4	198	197	orangutan	0.007475	0.992157	1
5	198	186	gorilla	0.0145027	0.951972	1
6	197	198	bonobo	0.00793447	0.984251	1
7	197	198	chimp	0.00935994	1.0	1
8	197	198	gibbon	0.0115559	0.984251	1
9	197	198	human	0.0101963	0.992157	1
10	197	198	orangutan	0.007475	0.992157	1
11	202	201	bonobo	0.00596391	0.992157	1
12	202	201	chimp	0.00577061	1.0	1
13	202	201	gorilla	0.00660702	0.992157	1
14	202	201	human	0.00478327	0.984251	1
15	202	201	orangutan	0.0049988	0.976281	1
16	202	191	gibbon	0.110133	0.992157	1
17	201	202	bonobo	0.00596391	0.992157	1
18	201	202	chimp	0.00577061	1.0	1
19	201	202	gorilla	0.00660702	0.992157	1
20	201	202	human	0.00478327	0.984251	1
21	201	202	orangutan	0.0049988	0.976281	1
22	201	192	gibbon	0.01802	1.0	1
23	199	200	bonobo	0.0150816	1.0	1
24	199	200	orangutan	0.0129361	0.992157	1
25	200	199	bonobo	0.0150816	1.0	1
26	200	199	orangutan	0.0129361	0.992157	1
27	200	479	gibbon	0.0334532	0.992157	1
28	205	207	bonobo	0.0898702	0.992157	1
29	205	207	chimp	0.018918	1.0	1
30	205	206	human	0.031881	0.976281	1
31	207	205	bonobo	0.0898702	0.992157	1
32	207	205	chimp	0.018918	1.0	1
33	207	208	gibbon	0.0227839	0.968246	1
34	207	208	human	0.0143354	0.992157	1
35	207	204	orangutan	0.0330765	0.984251	1
36	204	208	bonobo	0.0192186	0.984251	1
37	204	208	chimp	0.0182995	0.98889	1
38	204	210	gibbon	0.0489356	1.0	1
39	204	207	orangutan	0.0330765	0.984251	1
40	208	204	bonobo	0.0192186	0.984251	1
41	208	204	chimp	0.0182995	0.98889	1
42	208	207	gibbon	0.0227839	0.968246	1
43	208	207	human	0.0143354	0.992157	1
44	208	206	orangutan	0.0234639	1.0	1
45	209	210	bonobo	0.0136083	1.0	1
46	209	210	human	0.0151091	0.992157	1
47	209	447	gibbon	0.0176571	1.0	1
48	210	209	bonobo	0.0136083	1.0	1
49	210	209	human	0.0151091	0.992157	1
50	210	204	gibbon	0.0489356	1.0	1
51	211	213	bonobo	0.249569	0.992157	1
52	211	213	chimp	0.0341389	0.992157	1
